source_id,plx,g,b,r,teff
3458383537339385856,7.341050371668752,9.385544,9.615875,8.995319,6328.3086
3458521148091792000,10.475503835732248,7.2087455,7.466463,6.78584,6120.011
3458691915991126656,7.198667053653304,9.324394,9.623831,8.855176,5795.2354
3458698787939078272,5.9944432626747925,7.8824596,7.9089413,7.802863,8658.16
3458856567856703488,10.558575017117596,6.602146,7.086626,5.951637,4819.3623
3459262420789237888,7.375039231118482,8.41874,8.557121,8.15073,7163.672
3459790018869465984,16.98431020333096,9.146521,9.53032,8.591202,5409.732
3459806786421605120,6.5863974580789355,6.363839,6.8682117,5.6980467,4793.8276
3459842344453905920,4.4803978632795145,9.435595,9.834362,8.863222,5181.407
3459927423462652160,8.10865052696885,5.8691177,6.3644557,5.2055793,4866.583
3460347849221303296,43.678833029933806,11.115173,12.191074,10.084187,3582.9517
3460744841638285696,1.8806804839355673,7.2303133,9.011351,5.9354763,3596.423
3460906126250285056,5.366704646081393,7.361145,7.488691,7.1122684,7409.577
3461061466628379264,14.60822382082048,9.442224,9.84604,8.87122,5264.7397
3461099880815440512,10.595665950024507,9.332647,9.685797,8.809915,5610.1357
3461295800044836480,2.4651689533567356,7.835718,7.771787,7.918501,14097.103
3461301297601689856,2.415154107996602,8.666956,9.196401,7.9833436,4795.2515
3461393725297673856,7.554035713746612,8.699573,9.099368,8.125047,5667.111
3461419666900269952,13.450294642002376,8.691466,8.967329,8.244377,5957.169
3461732546677278464,1.733716982994532,8.784598,9.2795,8.12841,4820.175
3461796524509892224,12.219713363911147,8.311929,8.683395,7.7722197,5598.7427
3461985881028621824,1.8427150123604377,9.307754,9.347058,9.213067,9439.633
3462080370308507904,4.087139901057023,9.057374,9.214062,8.771733,7080.035
3462405653952534016,0.5895134020358165,10.673461,11.222862,9.965633,6003.1533
3462474407788741504,2.0261311819344074,8.446291,8.965021,7.7682176,5352.382
3462493889760258688,3.1727865969120623,8.972727,9.201732,8.5852165,6462.109
3462730555341912576,9.374904973415898,8.121116,8.352835,7.7290115,6328.496
3462976334846376320,7.274452882179468,6.4834566,6.4014244,6.3235154,10982.794
3462994545508460928,6.486336783218871,6.4660673,6.993099,5.78358,4787.074
3463190464736303232,6.659532665478946,7.2034206,7.283912,7.0303025,7919.41
3463210698325110272,4.640279430924039,7.4532104,7.971972,6.7720146,5131.4814
3463224205999308672,7.311054922596553,7.752816,7.8085265,7.6233377,8603.548
3463333774907950208,3.9716995858361455,7.447316,7.9082384,6.816403,4950.8823
3463341510145912320,1.599387172113193,8.404315,9.077667,7.612384,4806.3394
3463395523652894336,13.073949458590631,10.584998,11.350376,9.728705,4520.8516
3463520764900898560,2.7595334601240555,7.8172584,7.82148,7.7692957,9642.598
3463707372640197120,0.40054144132150427,11.820433,12.205272,11.254519,6380.2466
3463905353452403840,16.352058380822303,6.5359898,6.695132,6.237347,6969.898
3463964108605058944,8.338922415699775,7.5022163,7.61376,7.276834,7463.5684
3464145562383547392,2.005167335077726,9.143452,9.690127,8.44527,4824.53
3464163326368490240,8.977626432364268,9.400173,9.732862,8.897514,5705.078
3464333613231459456,12.124123983499768,6.171582,6.194517,6.100117,8728.64
3464454456431602176,17.534155603184537,7.8254,8.071164,7.4121103,6182.3955
3464533621268651520,1.741353728818512,8.589359,9.116404,7.9057927,4932.5215
3464604436689520512,9.973423259990886,7.564643,7.7200217,7.271406,7090.1406
3464618283663969280,2.4667418607839453,7.4333014,8.063357,6.6712093,4812.843
3464768882397930880,0.6407475154525601,10.8019085,11.31368,10.122302,6076.7866
3464832138675486464,12.873619648291216,8.989162,9.287618,8.522728,5863.9326
3464868697437149184,2.6836710741465772,8.573808,9.134821,7.8655305,4570.308
3464948412030653056,1.4974847687492252,9.926875,10.433275,9.256353,5524.253
3465447109272908672,0.8519258404862116,8.173072,9.290509,7.1231375,4859.8364
3465457623352622848,3.904061083269118,8.028321,8.070486,7.919316,9125.829
3465541044501212416,2.379944012091426,6.9385653,7.4591155,6.258909,5275.386
3465628563051144704,4.775705370645528,9.288768,9.537122,8.881208,6251.171
3465708552522393344,1.838249986549431,6.5630097,7.7284465,5.4899335,4989.11
3466017652728380544,7.104434284839429,10.258985,10.552884,9.793603,5803.7646
3466217935643483392,20.665659471654546,6.469783,6.7657356,5.9983735,5860.077
3466584141734801024,5.420216621878438,8.035877,8.190732,7.743977,7151.997
3466798512142683008,12.24719729136045,8.974313,9.332512,8.448471,5653.252
3466950244747111808,11.466703147638373,7.1723466,7.5373516,6.630435,5851.69
3467188873130027904,3.3928201985647406,7.961675,8.489395,7.27624,4930.548
3467364691911356288,5.338746356251472,7.0115647,7.662488,6.235957,4690.052
3467415028928108928,15.91656713955814,7.359379,7.585848,6.969267,6297.278
